央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?token=7439e196579dab27ed879ca34bf891053e2296669f13afb7523365daed396f4e52ee3213fab2aa11baa1595f45ef4d0ad813a53b52e8535ce552cf4141b0cbfeaff939ea57d2931925d20dde7d&tm=1757559327&sign=04573b5e68ea10adec91a880f7e74475
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?token=6daa70b83de5358b54a1755b79d62a6fac59181e0d468a59157e039783d4a24c7b747761923069aa193ff8fd78faa007e213e2bf262ad2c4b8ae007e679fbc3c0125a99e12609c8e795b4d31ff&tm=1757559327&sign=15fa36497820f28385c3f3fa6ceee3b3
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?token=77a3d18c0306e0ef39565e73fed7abb7c0aa6bd680098af37f46ab8cf11957940d25b0a4cdd0214baaff34df020b546087dcbda4fea76304fc12cf93191d588c9a8a66b3c2e15a9da4560b66a2&tm=1757559327&sign=d32d10936e92d6dab0d9e835329d5334
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?token=fc4642dd956d705f1f39605127e8649a13ea8905aaed09a6501cb55ee6d94077702c4530c90192aa485873b2e89ffa0a1523ce13c3b083a43adaf133768e82b8041fe2cb333067b79053ada47d&tm=1757559327&sign=fe85d5a9cc486672689ce4df53f63643
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?token=1d7aec6047227a9a192c8ae9bfc964719d10410c6139920a80f581cd0abb3b5c306f1874339a51393fec0a9cb254edb55b4a09dbed7c2fce49ebdacd8710f87fcb87b993634da26985882f7179&tm=1757559327&sign=ada8a39c5ef9da2f8c47fc7c56bdb30a
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?token=46eb9b02416018101d1e40d9c2143caf28e8332605572feed4be6dfacfa6b17888f7734afab23893183924619696b99e6711a062e19bd2f2a4b62a9dada71219ad6c87fe0f8cf77b23455e4c5b&tm=1757559327&sign=ee4e8db92b0ba5ace641f96f9ebc4534
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?token=dc61b463043143dd964f00f2c64a3d430b7a273b7d9a461efb6e13b4fee9bbe9a695693d8a80d514630185005b53a81f37f7cfbbdcf279aca5b260d2f7739765868b01f24d7e9aab89de324716&tm=1757559327&sign=f9d716257335f6a91d208c638dd55896
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV5+,https://mgtv.ottiptv.cc/mg/641886773.m3u8?token=f7cc83f63ede663896facbfb9a466a8d6b33f962645667fa6b5ab8cf806f45d7c137fdccea83e69e2d7e009c95eae4f04a229319b916f88973fabbfc967f752b5ebf7cc3341fc1aa4a39dcff24&tm=1757559327&sign=b43f4cd349797abb496273167b122be6
CCTV6,https://mgtv.ottiptv.cc/mg/624878396.m3u8?token=a3efd05f5d408f5902683c5dca6b663e91d0db9ef8451f852e9459c0b1e9db6d4c67eb8129a1898e3abba8898d3db50194b7daa85dc6b5936eb5787a4fa63325f2adcac43dedee6b632e1da6e8&tm=1757559327&sign=997ccd53cff6517f672cbcdd3dfe9100
CCTV6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?
CCTV7,https://mgtv.ottiptv.cc/mg/673168121.m3u8?token=cfcd64bd495630a97f87d007105d9a618179275240288dbe3571b187375392046229bdec90c819265cb13a54cf3e947d26fbd9ada30ede9f1bdec040b55b66f02cfd9a6802d9460eaee253148e&tm=1757559327&sign=c91ec452218d6b4d23837effc4533b9e
CCTV7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?
CCTV8,https://mgtv.ottiptv.cc/mg/624878356.m3u8?token=bbd110038e9f1028676fe91ccfab2454238f343364c935558da18f295f276abca6cdf123737a89f9a93b1921416f46911a2c490b0e3bc3ec63fad2f6accdf5903eff2ebed2872f5bf4e192a126&tm=1757559327&sign=a42ff52178b45dc5c443562222edc33c
CCTV8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?
CCTV9,https://mgtv.ottiptv.cc/mg/673168140.m3u8?token=d24cb618cb8dd6eaf44bcc2da6b1731e8636f2b702e9301ca5c7ed882058db8d7896c384f09a8578f9beed5245decea897983514f0d8d8a17e067e4e67ddcf4d6719a0bb66ae4d7ea69790c6b6&tm=1757559327&sign=69eb3d3fd7352077f1ed75908e5dd294
CCTV9,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?
CCTV10,https://mgtv.ottiptv.cc/mg/624878405.m3u8?token=9b25dd49580569e40eef7a96bfa2700a38b87a22b5ef416cfd8d41559bf1c549fe4a368872370cb1bdfecf2bf6a58c7296cf085e5a94b05d2567bcfc8becb0540039e0039a0dafe81a23d6b80b&tm=1757559327&sign=420c7d1a7e3cc0855ae80884b95cb54c
CCTV10,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?
CCTV11,https://mgtv.ottiptv.cc/mg/667987558.m3u8?token=3a880985b9b788b6f171de705fe246207f4549aebf60f031b7997020f054fb1e7518794f0527133c0d5141640a3822d70543c337a96d42b288e4ac4922c6207ff2e178da2298e1f90856efa82b&tm=1757559327&sign=fbd65903ed4aa52c47275d5ab2c4a97b
CCTV11,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?
CCTV12,https://mgtv.ottiptv.cc/mg/673168185.m3u8?token=4b502674800ea3b07098d6a4aa6c83cdf1eb885424ac6c7e2ff168a076e8bb789c5510c587d37be3cb8e1d389bf62a996af0b2f5889678522a5eb116d03b42c9de56d0752b58fa443fc8dd75c1&tm=1757559327&sign=239b8cb4b441ba73711f88073ac3d058
CCTV12,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?
CCTV13,https://mgtv.ottiptv.cc/mg/608807423.m3u8?token=c3b1f75db9ec21354b7536ab9b9aa5b51c0fd5a50c5ef03154106132d441e8eedf704e726e1376935d1690b7c56c2b25fb4abd2e10e587ed26b2f9d6bbb62f600d9f8f1d0b68d0686434276af1&tm=1757559327&sign=6cd1c2f7618dc2280208a3e0f51bb169
CCTV13,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?
CCTV14,https://mgtv.ottiptv.cc/mg/624878440.m3u8?token=a0644518c73bd01ba22eef2fa7cbe10e1649616e8220ffbc0028ade0ea22ae81fdd9e750454994e4a6f745d57fec8ffd5b06cd816a13cb64ce1d732ec60ffb585e762fa75b9d3ff5906d9eb6cb&tm=1757559327&sign=6b1d8ed07d4da6aef6950a1fa0ca532d
CCTV14,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?
CCTV15,https://mgtv.ottiptv.cc/mg/673168223.m3u8?token=9f0f83503327e224d80d06bb12ae6a6ba171a815fd3168573cf9f3f7419631d844f75fc06521e28dd7f7f257e81276d669b7ec91ad791d0d42eb9ffe1bb1d21f378b1a03c75a788d40db86c387&tm=1757559327&sign=41d5765c9776cda6a7444e64d9cf7c30
CCTV15,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?
cctv16,https://mursor.ottiptv.cc/mcp/cctv16.m3u8?tm=1757571545&sign=18edbf68452cbe863a2ea49e54c60400
cctv16,https://mursor.ottiptv.cc/mst/cctv16-2.m3u8?tm=1757571545&sign=6fcfc8cbccd2d01c3d6fc7d98b67fcf2
CCTV16,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?
CCTV17,https://mgtv.ottiptv.cc/mg/673168256.m3u8?token=b71db8a91d37efc612d265e64329cafe0bf9b8245cb6da9f27e41a1f6045bf6c2ee12b9450be5df560ce87377d5d4bc6401241e71a43d19714459c603e76242bb63a3888cf3be1718fa0c9f4ee&tm=1757559327&sign=d6cd8de1cf4156f3dec2066dd0467b27
CCTV17,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?
CGTN,https://mgtv.ottiptv.cc/mg/609017205.m3u8?token=accfaa6b2b0f215042e02818f64290cefa92af4fae6cffcfc6f7e439eb392e5ae36b719904cd5b32bcde158b60d8fdb3635c232344a5b83b0a58e718aea20d50288ca6e8f1b99d4fbcbcdb4cb5&tm=1757559327&sign=90ad8975ae4f9ee5c183713a02112617
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN西语,https://mgtv.ottiptv.cc/mg/609006450.m3u8?token=d00c588c2e9c829f87bfc16c41a063648f1835e872c15ec62dbc741e417901631e338671023b411f9dd7b895fc1927f5f135ca3fd4b41b66098c55cdbd28e9e7bc77e07cd82477180e69827888&tm=1757559327&sign=11912dad6c3839f68e1fc3412cb49279
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,https://mgtv.ottiptv.cc/mg/609006476.m3u8?token=9313339e09893562c848ca3c8cd3a7a9971153d5bd3488711734c829ecf3fec4005f21538c646c033f53a85bde25f6dc44e4e8dbbd2a9b3e9982d2ba386a447bb8d26b19f70f995b3fc3d560c2&tm=1757559327&sign=6d8b938fdda0ee84fdee136ee2465d7d
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN俄语,https://mgtv.ottiptv.cc/mg/609006446.m3u8?token=f37bf16e1aba99b73b60f174a03b9b3ce8fd59f78b5ebf069af3c2f3cd3b370e83e401acf408426dcc0a0e1ded1f7e8f7b84cc2a5be77762fb04f0228c8cdb9f6c30ce9556b82eeae2ae65574a&tm=1757559327&sign=8440042c0fcbe25f1045fa6204650bb1
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN阿语,https://mgtv.ottiptv.cc/mg/609154345.m3u8?token=578c898fc807723949138aaf9ae7fb7e7799bb2cbb72a62ec5d33d74b9844695867e32fcdf988271b9caa9df42ad394a66fcf15bec6b98cc79e10c145450e302ddea2cdfedaedd5a5eeb6685ef&tm=1757559327&sign=419a73fb6cf7b459549716927524e7a2
CGTN阿语,https://0472.org/hls/cgtna.m3u8

卫视,#genre#
安徽卫视,https://mursor.ottiptv.cc/mcp/anhui.m3u8?tm=1757571545&sign=e7e126d0bf16af4a13649e3854c09e75
安徽卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226943/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0QmKQ_slRCwvVVUUfxPVbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
北京卫视,https://mursor.ottiptv.cc/mcp/beijing.m3u8?tm=1757571545&sign=b19bc2603514ef375aed0b489730d5e8
北京卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
重庆卫视,https://mursor.ottiptv.cc/mcp/chongqing.m3u8?tm=1757571545&sign=f827304210f734620c2332cfb033f1af
重庆卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226963/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EjTXsJprEx2nE38tdvu5lhA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东方卫视,https://mgtv.ottiptv.cc/mg/651632648.m3u8?token=19851fc0b00110992821c9b353c58a75699ef1352e5a200a44b779dbef031b8d498ef95876baa0b52dcf5d217aa95a7f4cb37d9f5a1c18a1fd157cee047e579879d20059176dc4bdfb2f870d03&tm=1757559327&sign=1240d0493f5d94399b955bc538ea7f71
东方卫视,https://mursor.ottiptv.cc/mcp/dongfang.m3u8?tm=1757571545&sign=7a5e790897684346c4f7b9302638b3ee
东方卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东南卫视,https://mgtv.ottiptv.cc/mg/849116810.m3u8?token=3f5327081fc10fcfdb051b7cc7fd878865c8909ea7e4b52e30bf94986a696297b29bb7a046dc61614e27b7c72601e03fecaa235fd0b09c73d0f8ca363e56a5273f88d3ea6b581f9059f33c377e&tm=1757559327&sign=4d7cc7f49c19803d19ce811d5d73716c
东南卫视,https://mursor.ottiptv.cc/mcp/dongnan.m3u8?tm=1757571545&sign=e0bea462926fa1157322e28f42d9aba3
东南卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226991/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EQ6F5Mjgs0tJyEArWFL3vQA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
甘肃卫视,https://mursor.ottiptv.cc/mcp/gansu.m3u8?tm=1757571545&sign=ce7116c778f4cc6aced108bda6d54954
甘肃卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227020/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Err-CLugPnTcUinEM8JeySg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
